TILEMAP
10 8
32 32
images/tileset_1x1.png
16 31
BASE
65,66,67,67,67,67,67,67,68,69
81,48,50,64,48,51,48,64,48,85
97,48,49,96,48,49,48,80,48,101
97,50,48,80,50,48,48,117,83,130
97,49,48,96,48,48,49,133,67,114
97,48,48,80,115,116,48,96,50,101
97,98,99,128,101,97,100,112,98,101
129,83,83,83,131,132,83,83,83,130
LAYER
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,82,-1,-1,-1,-1,-1,-1,84,-1
-1,-1,-1,-1,50,-1,-1,-1,-1,-1
-1,-1,-1,-1,49,-1,70,-1,-1,-1
-1,-1,-1,-1,-1,50,86,-1,-1,-1
-1,-1,-1,70,-1,-1,86,-1,-1,-1
-1,-1,-1,102,53,54,102,-1,52,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
