TILEMAP
39 15
32 32
images/tileset_1x1.png
16 32
BASE
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,160,161,163
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,176,177,179
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,2,6,-1,-1,-1,-1,-1,-1,-1,176,177,179
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,2,3,2,3,4,-1,-1,-1,-1,-1,-1,-1,-1,16,17,18,20,-1,-1,-1,-1,-1,-1,-1,192,193,195
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16,17,18,19,18,19,20,-1,-1,-1,-1,-1,-1,-1,-1,32,33,34,36,-1,-1,-1,-1,-1,-1,164,161,162,165
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16,17,18,19,34,35,36,-1,-1,-1,-1,-1,-1,-1,61,57,58,59,59,62,-1,-1,-1,-1,-1,176,177,178,179
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16,17,18,20,61,57,57,58,59,60,-1,-1,-1,-1,72,73,74,75,75,76,-1,-1,-1,-1,-1,176,177,178,179
0,1,2,4,-1,-1,-1,-1,-1,-1,16,17,18,20,72,73,73,74,75,76,-1,-1,-1,-1,72,73,74,75,75,76,-1,-1,-1,-1,-1,192,193,194,195
16,17,18,20,-1,-1,-1,-1,-1,-1,16,17,34,36,88,89,89,74,75,76,-1,-1,-1,-1,72,73,74,75,75,76,-1,-1,-1,164,161,162,161,162,165
16,17,18,20,-1,-1,-1,-1,-1,-1,16,20,5,1,2,3,6,74,75,76,-1,-1,-1,-1,72,89,90,91,91,76,-1,-1,-1,176,177,178,177,178,179
16,17,18,20,-1,-1,-1,-1,-1,-1,16,20,16,17,18,19,20,74,75,76,-1,-1,-1,-1,72,73,74,75,76,76,-1,-1,-1,176,177,178,177,178,179
32,33,34,36,-1,-1,-1,-1,-1,-1,32,36,32,33,34,35,36,90,91,92,-1,-1,-1,-1,88,89,90,91,92,78,-1,-1,-1,192,193,194,193,194,195
0,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,6
32,33,34,35,33,34,35,33,34,35,33,34,35,33,34,35,33,34,35,33,34,35,33,34,35,33,34,35,33,34,35,33,34,35,33,34,35,33,36
LAYER
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
