TILEMAP
20 10
32 32
images/alrupa_tileset_1.png
6 6
BASE
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,1,2,3,4,2,3,4,5,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,7,8,9,10,8,9,10,11,-1,-1,-1,-1,-1
-1,-1,-1,-1,1,2,3,4,2,3,4,2,3,4,2,3,5,-1,-1,-1
-1,-1,-1,-1,7,8,9,10,8,9,10,8,9,10,8,9,11,-1,-1,-1
-1,-1,-1,1,2,3,4,2,3,4,2,3,4,2,3,4,4,5,-1,-1
-1,-1,-1,7,8,9,10,8,9,10,8,9,10,8,9,10,10,11,-1,-1
1,2,3,2,3,3,2,3,3,2,2,3,2,3,3,2,3,3,3,5
7,8,9,8,9,9,8,9,9,8,8,9,8,9,9,8,9,9,9,11
LAYER
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,12,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,18,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,12,-1,-1,-1,18,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,24,-1,-1,-1,18,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,12,-1,-1,-1,-1,-1,-1,18,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,24,-1,-1,-1,-1,-1,-1,24,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
